"id","Telencephalon_L","Telencephalon_R","Diencephalon_L","Diencephalon_R","Mesencephalon","Metencephalon","Myelencephalon","CSF"
127,531111,543404,9683,9678,10268,159402,4973,109776
142,545603,552216,9156,9071,10516,165803,4912,107334
239,483107,490805,8937,9004,9070,124504,4023,94254
346,558849,568830,8828,8933,9788,135090,4428,67156
422,509945,518902,9749,9722,12263,159656,5350,110114
492,538936,541024,10023,10142,11734,150771,5584,112359
501,506151,516742,9315,9104,10118,137392,5256,95073
505,457862,461817,8120,8126,9098,132699,4241,81568
656,551654,570542,9519,9678,12106,156662,4826,67376
679,482556,490654,8996,8990,10979,144972,4359,56925
742,483496,488470,9035,8831,10494,178437,4881,125867
800,373246,380492,7066,7396,7286,112847,3214,53145
814,526596,543440,9107,9438,10972,153053,4563,94317
815,468915,473350,8992,9092,10499,141228,4044,61649
849,516579,519582,9072,8958,10102,164044,4685,94632
906,467063,470488,8801,9054,9564,154071,4035,71939
913,486629,495646,10137,9810,11386,176396,4313,91674
916,557758,572435,9552,9846,11360,178055,4325,79119
934,468971,476112,7396,7707,8384,112568,3819,81441
959,512967,519178,8634,9143,10470,142318,4508,105896
